target_day,new_day,rmse_spfh,rmse_prmsl,rmse_rh
1958-01-05,1966-12-28,0.66010994,0.51868874,0.7523485
1959-01-05,1968-01-04,0.78916544,0.48225427,1.0043198
1960-01-05,1991-12-28,0.8317141,0.40653902,0.85601383
1961-01-05,1959-01-03,0.6558857,0.48603737,0.8277975
1962-01-05,1993-01-08,0.97375315,0.64308405,0.9024325
1963-01-05,1986-01-02,0.85855335,0.5474091,0.96183866
1964-01-05,1992-12-29,0.76893765,0.32202592,1.0307378
1965-01-05,1976-01-14,0.8865231,0.45921934,1.1155933
1966-01-05,1966-12-26,0.97276485,0.55877274,0.8862563
1967-01-05,2010-01-02,0.7409961,0.455962,0.84275955
1968-01-05,1975-01-08,0.7243398,0.4289699,0.8342621
1969-01-05,1988-01-15,0.88315946,0.5994237,0.99275863
1970-01-05,1995-12-26,1.1406207,0.5872448,0.95685565
1971-01-05,1986-01-07,0.67086565,0.5914313,1.0512995
1972-01-05,1971-01-13,0.95944214,0.26249158,1.054821
1973-01-05,1969-01-03,0.81657726,0.66332144,0.9341448
1974-01-05,1993-12-29,0.8834902,0.5252279,0.85325
1975-01-05,2003-01-14,0.86156696,0.2467378,0.8416272
1976-01-05,2014-01-11,0.96813136,0.34637254,1.0192071
1977-01-05,1973-01-02,1.444354,0.48669997,1.0612106
1978-01-05,1969-01-02,0.9449266,0.4845202,0.9210838
1979-01-05,1969-12-26,0.7572873,0.41348857,0.9637738
1980-01-05,1974-01-09,0.8548054,0.45043048,0.9401307
1981-01-05,2016-01-13,0.66265345,0.6195889,0.77116644
1982-01-05,1978-12-29,0.59194434,0.6466453,0.58544844
1983-01-05,2007-01-06,0.8556442,0.3460458,0.6133323
1984-01-05,1968-01-04,0.7044002,0.65344363,0.8174617
1985-01-05,2010-01-07,0.7941119,0.44529614,1.0750653
1986-01-05,1961-01-10,0.70289373,0.42670366,1.0833985
1987-01-05,2001-12-28,0.5905142,0.5019674,0.96542466
1988-01-05,1966-01-02,0.6871205,0.4744089,0.89799845
1989-01-05,1993-01-09,0.69075865,0.7006847,0.84805477
1990-01-05,2006-01-15,0.83642054,0.42774475,1.0413867
1991-01-05,2012-01-03,0.77993643,0.31569287,0.8271092
1992-01-05,1976-01-02,0.7787331,0.62396365,0.8953484
1993-01-05,1990-01-06,0.77812576,0.5229495,0.8694767
1994-01-05,2016-01-10,0.77769846,0.40818134,0.88942486
1995-01-05,2018-01-14,0.8903662,0.40326002,1.1495384
1996-01-05,1988-01-13,0.9228732,0.6921335,0.99029416
1997-01-05,2003-01-08,0.9026655,0.34745702,0.9651285
1998-01-05,2018-01-01,0.6481124,0.31354782,0.6558197
1999-01-05,2007-01-07,0.84642524,0.66030544,0.8436063
2000-01-05,2005-01-11,0.68759525,0.4628268,0.74678785
2001-01-05,2014-01-02,0.968562,0.3716876,0.9047597
2002-01-05,2016-12-28,1.0149325,0.4236441,1.0230426
2003-01-05,2010-01-02,0.5770205,0.4633562,0.9852016
2004-01-05,1987-01-04,0.6965545,0.3264659,0.82409567
2005-01-05,1992-01-01,0.6348543,0.52014166,0.62158227
2006-01-05,2018-01-12,1.0196372,0.3275051,0.9536102
2007-01-05,1982-12-27,0.8141794,0.44990912,0.78850806
2008-01-05,1974-01-06,0.88929963,0.4606184,0.93155205
2009-01-05,1995-01-03,0.7597643,0.5208562,1.1366664
2010-01-05,1985-12-30,0.667993,0.5784907,0.77665526
2011-01-05,2017-12-26,0.74892586,0.6915006,0.8674315
2012-01-05,1988-01-04,0.6964629,0.65164024,0.815004
2013-01-05,2012-01-09,0.86550426,0.51647955,0.6990114
2014-01-05,1961-01-02,0.9211549,0.37890288,0.82806516
2015-01-05,2012-01-09,0.7268826,0.3702806,0.7746449
2016-01-05,1986-01-02,0.9625004,0.3595913,0.84440166
2017-01-05,1987-01-07,0.6816569,0.39810675,0.7785236
2018-01-05,1988-01-05,0.77842385,0.49325144,0.9988251
1958-01-06,2018-01-16,0.96081233,0.66745156,0.8062362
1959-01-06,2017-01-12,0.7545987,0.7548177,0.7514628
1960-01-06,2017-01-02,0.8194188,0.32896647,0.8706826
1961-01-06,1968-01-03,0.6744902,0.65226513,0.9456834
1962-01-06,1964-01-01,0.9467162,0.5125164,0.9375755
1963-01-06,1959-01-15,0.90441227,0.5605158,0.9029528
1964-01-06,1992-12-29,0.90223217,0.39775655,1.1556894
1965-01-06,1958-01-15,1.0265307,0.43361598,1.072223
1966-01-06,1982-12-30,0.839018,0.46543333,0.9108636
1967-01-06,1986-01-09,0.76108444,0.4429777,0.8921807
1968-01-06,1961-01-09,0.5831737,0.3892548,0.85280395
1969-01-06,1989-12-27,0.7723467,0.4242465,0.9247564
1970-01-06,1985-12-29,1.1647818,0.4228293,1.0121223
1971-01-06,1995-01-07,0.8900154,0.6579696,0.90326446
1972-01-06,1971-01-14,0.88719904,0.44782063,0.98131055
1973-01-06,2006-01-08,0.796927,0.6920051,1.0179123
1974-01-06,1972-01-12,0.9256125,0.33923286,0.90867376
1975-01-06,2007-01-13,0.8901393,0.34343582,0.9052005
1976-01-06,1958-12-28,0.9579359,0.47983158,0.98181856
1977-01-06,1990-01-09,1.106647,0.46500525,0.9607104
1978-01-06,1975-01-01,0.9393358,0.31346095,0.8803313
1979-01-06,1975-12-29,0.91704446,0.7363393,0.94550866
1980-01-06,1987-01-06,0.5959883,0.4802284,0.9369322
1981-01-06,1986-01-16,0.75954306,0.48517787,0.8721842
1982-01-06,1966-01-03,0.77557254,0.71131754,0.801854
1983-01-06,1989-01-09,0.76405114,0.82752746,0.65645665
1984-01-06,1997-12-28,0.5485162,0.6229734,0.81660694
1985-01-06,1996-12-30,0.59419763,0.5007689,1.0160327
1986-01-06,1961-01-09,0.6354401,0.5121934,0.8816131
1987-01-06,1980-01-06,0.5959883,0.4802284,0.9369322
1988-01-06,1998-01-07,0.69885886,0.4930396,0.83800274
1989-01-06,2011-12-30,0.93223095,0.52090627,0.8935673
1990-01-06,1993-01-05,0.77812576,0.5229495,0.8694767
1991-01-06,1962-01-13,0.7976324,0.5523451,0.7056707
1992-01-06,2012-01-10,0.7781157,0.47648874,0.984863
1993-01-06,2015-01-08,0.92666554,0.45553124,0.90212977
1994-01-06,1961-01-03,0.7880311,0.49985453,0.8660762
1995-01-06,1999-12-31,0.8252978,0.4477147,0.9528422
1996-01-06,2010-01-13,1.1869156,0.6195695,1.0455295
1997-01-06,1980-01-15,0.7295727,0.53789204,0.8778634
1998-01-06,2018-01-01,0.72377306,0.4854544,0.7868328
1999-01-06,1968-01-16,1.0330368,0.45385072,0.9295786
2000-01-06,1989-01-12,0.73155653,0.34654605,0.7852165
2001-01-06,2008-01-06,0.991671,0.7921502,0.76143503
